2019-06-03 19:13:10.3541 | INFO | SquareSequence_7.SquareSequence | Add 3 to sequense
2019-06-03 19:13:37.2306 | INFO | SquareSequence_7.SquareSequence | Add 0 to sequense
2019-06-03 19:13:44.3828 | INFO | SquareSequence_7.SquareSequence | Add 0 to sequense
2019-06-03 19:13:44.4064 | INFO | SquareSequence_7.SquareSequence | Add 1 to sequense
2019-06-03 19:13:44.4064 | INFO | SquareSequence_7.SquareSequence | Add 2 to sequense
2019-06-03 19:13:44.4064 | INFO | SquareSequence_7.SquareSequence | Add 3 to sequense
2019-06-03 19:13:50.5386 | INFO | SquareSequence_7.SquareSequence | Add 0 to sequense
2019-06-03 19:13:50.5625 | INFO | SquareSequence_7.SquareSequence | Add 1 to sequense
2019-06-03 19:13:50.5625 | INFO | SquareSequence_7.SquareSequence | Add 2 to sequense
2019-06-03 19:13:50.5625 | INFO | SquareSequence_7.SquareSequence | Add 3 to sequense
2019-06-03 19:14:30.7189 | INFO | SquareSequence_7.SquareSequence | Add 0 to sequense
2019-06-03 19:14:30.7428 | INFO | SquareSequence_7.SquareSequence | Add 1 to sequense
2019-06-03 19:14:30.7446 | INFO | SquareSequence_7.SquareSequence | Add 2 to sequense
2019-06-03 19:14:30.7446 | INFO | SquareSequence_7.SquareSequence | Add 3 to sequense
2019-06-03 19:14:30.8922 | INFO | SquareSequence_7.SquareSequence | 0, 1, 2, 3
2019-06-03 19:14:30.8922 | INFO | SquareSequence_7.SquareSequence | Add 0 to sequense
2019-06-03 19:14:30.9012 | INFO | SquareSequence_7.SquareSequence | Add 1 to sequense
2019-06-03 19:14:30.9012 | INFO | SquareSequence_7.SquareSequence | Add 2 to sequense
2019-06-03 19:14:30.9012 | INFO | SquareSequence_7.SquareSequence | Add 3 to sequense
2019-06-03 19:14:30.9012 | INFO | SquareSequence_7.SquareSequence | Add 0 to sequense
2019-06-03 19:14:30.9012 | INFO | SquareSequence_7.SquareSequence | Add 1 to sequense
2019-06-03 19:14:30.9012 | INFO | SquareSequence_7.SquareSequence | Add 2 to sequense
2019-06-03 19:14:30.9012 | INFO | SquareSequence_7.SquareSequence | Add 3 to sequense
2019-06-03 19:14:30.9012 | INFO | SquareSequence_7.SquareSequence | Add 0 to sequense
2019-06-03 19:24:34.1911 | INFO | SquareSequence_7.SquareSequence | Add 0 to sequense
2019-06-03 19:40:46.1938 | INFO | SquareSequence_7.SquareSequence | Add 0 to sequense
2019-06-03 19:40:46.2226 | INFO | SquareSequence_7.SquareSequence | Add 1 to sequense
2019-06-03 19:40:46.2226 | INFO | SquareSequence_7.SquareSequence | Add 2 to sequense
2019-06-03 19:40:46.2226 | INFO | SquareSequence_7.SquareSequence | Add 3 to sequense
2019-06-03 20:17:50.9856 | INFO | SquareSequence_7.SquareSequence | Add 0 to sequense
2019-06-03 20:17:51.0102 | INFO | SquareSequence_7.SquareSequence | Add 1 to sequense
2019-06-03 20:17:51.0102 | INFO | SquareSequence_7.SquareSequence | Add 2 to sequense
2019-06-03 20:17:51.0102 | INFO | SquareSequence_7.SquareSequence | Add 3 to sequense
